Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Gorka Guruzeta,Athletic Club,12,ESP,FW,27-338,90,0,1,0,0,1,0,0,0,30,0,0,3,0.1,0.1,0.1,2,1,16,21,"76,2",0,15,0,1,0,2024-08-15
Álex Berenguer,Athletic Club,7,ESP,LW,29-042,71,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,12,23,"52,2",1,17,3,5,2,2024-08-15
Nico Williams,Athletic Club,10,ESP,LW,22-034,19,0,0,0,0,2,2,0,0,11,0,0,0,0.1,0.1,0.0,1,0,4,8,"50,0",0,6,2,1,1,2024-08-15
Iñaki Williams,Athletic Club,9,GHA,RW,30-061,90,0,0,0,0,2,0,0,0,36,1,0,0,0.1,0.1,0.0,0,0,17,26,"65,4",1,22,1,2,1,2024-08-15
Oihan Sancet,Athletic Club,8,ESP,AM,24-112,90,1,0,0,0,1,1,0,0,26,1,0,0,0.0,0.0,0.0,0,0,18,23,"78,3",3,15,2,0,0,2024-08-15
Mikel Vesga,Athletic Club,6,ESP,DM,31-086,56,0,0,0,0,0,0,0,0,44,2,1,0,0.0,0.0,0.0,0,0,27,38,"71,1",6,19,0,1,0,2024-08-15
Unai Gómez,Athletic Club,20,ESP,DM,21-082,34,0,0,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.0,3,0,8,12,"66,7",0,7,0,3,1,2024-08-15
Beñat Prados,Athletic Club,24,ESP,DM,23-189,56,0,0,0,0,0,0,1,0,33,1,0,0,0.0,0.0,0.0,1,0,20,28,"71,4",1,15,0,2,1,2024-08-15
Ander Herrera,Athletic Club,21,ESP,DM,35-001,34,0,0,0,0,0,0,1,0,37,1,0,0,0.0,0.0,0.1,2,0,27,32,"84,4",2,23,0,3,1,2024-08-15
Yuri Berchiche,Athletic Club,17,ESP,LB,34-187,90,0,0,0,0,1,1,0,0,70,1,1,0,0.0,0.0,0.0,1,0,57,65,"87,7",8,25,1,1,1,2024-08-15
Aitor Paredes,Athletic Club,4,ESP,CB,24-108,80,0,0,0,0,0,0,0,0,66,0,0,1,0.0,0.0,0.0,1,0,49,56,"87,5",3,37,0,0,0,2024-08-15
Daniel Vivian,Athletic Club,3,ESP,CB,25-031,10,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,18,19,"94,7",1,18,0,0,0,2024-08-15
Yeray Álvarez,Athletic Club,5,ESP,CB,29-204,90,0,0,0,0,0,0,0,0,73,1,2,0,0.0,0.0,0.0,1,1,52,59,"88,1",12,37,2,1,0,2024-08-15
Andoni Gorosabel,Athletic Club,2,ESP,RB,28-011,80,0,0,0,0,0,0,1,0,34,1,0,1,0.0,0.0,0.0,0,0,24,28,"85,7",1,9,0,1,1,2024-08-15
Iñigo Lekue,Athletic Club,15,ESP,RB,31-103,10,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,14,16,"87,5",3,11,1,0,0,2024-08-15
Alex Padilla,Athletic Club,26,ESP,GK,20-349,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,26,43,"60,5",0,24,0,0,0,2024-08-15
